StrandDiameter,Strands,A,AirGap,B,C,Current,D,E,Frequency,phi_A,phi_B,Turns,StrandedLossAC,CoreLoss,L,CoreType
0.11,80,20.5,0.625,20.2,14.3,1.65,14.0,12.5,293,8.8,18.0,23,831.223752107353,785.671,83.9483423774988,PQ20/20
0.086,200,26.5,2.032,24.8,16.1,2.37,19.0,15.5,473,12.0,22.5,27,6291.75830963068,987.908,76.2262958427251,PQ26/25
0.082,100,16.4,1.018,11.6,6.7,1.77,11.2,9.6,519,7.0,14.4,18,940.073621416256,171.979,22.170182837147,PQ16/11.6
0.09,500,32.0,1.426,30.4,21.3,4.47,22.0,19.0,439,13.4,27.5,10,2270.3433191891,1123.79,17.4024562457223,PQ32/30
0.2,30,40.5,1.896,39.8,29.5,9.38,28.0,28.0,68,14.9,37.0,25,4992.21346107389,2770.72,109.451245351993,PQ40/40
0.2,250,65.0,2.103,60.0,42.0,12.63,45.0,40.8,30,26.0,55.0,20,5214.59139927712,1720.61,169.29245210095,PQ65/60
0.081,250,50.0,1.207,40.0,26.1,2.97,32.0,31.5,532,20.0,44.0,12,733.446603807014,3206.87,59.0290243843193,PQ50/40
0.138,20,40.5,1.71,30.3,20.0,7.51,28.0,28.0,186,14.9,37.0,20,4539.71090338105,4924.85,73.9151272372849,PQ40/30
0.091,400,35.1,0.47,34.8,25.0,0.9,26.0,23.5,423,14.3,32.0,16,229.94230240651,800.3249999999999,125.577226192842,PQ35/35
0.078,350,40.5,1.011,30.3,20.0,1.29,28.0,28.0,579,14.9,37.0,25,1671.98273706954,2028.29,175.306846752552,PQ40/30
0.154,40,26.5,1.844,20.2,11.5,3.72,19.0,15.5,149,12.0,22.5,42,15366.4424885342,1127.62,193.470694874194,PQ26/20
0.082,30,16.4,1.162,11.6,6.7,0.84,11.2,9.6,526,7.0,14.4,43,897.743182542243,182.18200000000002,113.457118557646,PQ16/11.6
0.086,100,40.5,1.954,39.8,29.5,5.81,28.0,28.0,472,14.9,37.0,10,876.059468474578,2372.04,17.095055155257,PQ40/40
0.1,350,26.5,0.689,20.2,11.5,3.73,19.0,15.5,352,12.0,22.5,11,2661.4989472391703,1449.17,30.4499407035348,PQ26/20
0.077,100,20.5,2.107,20.2,14.3,1.76,14.0,12.5,591,8.8,18.0,37,4108.13759500547,959.913,82.7695976254327,PQ20/20
0.115,60,20.5,1.454,16.2,10.3,3.79,14.0,12.5,269,8.8,18.0,22,3479.57605005191,675.827,37.9007494799,PQ20/16
0.166,100,26.5,1.26,24.8,16.1,7.12,19.0,15.5,128,12.0,22.5,15,5470.74849368926,959.55,34.762830400654,PQ26/25
0.109,300,32.0,0.926,30.4,21.3,3.7,22.0,19.0,297,13.4,27.5,15,3155.19080488298,2451.16,55.4924316774687,PQ32/30
0.101,120,32.0,1.955,30.4,21.3,3.08,22.0,19.0,346,13.4,27.5,39,14423.6709862412,5214.28,206.658682106813,PQ32/30
0.084,200,16.4,0.973,11.6,6.7,3.2,11.2,9.6,500,7.0,14.4,9,788.213126982334,134.73,5.75270444991233,PQ16/11.6
0.115,200,26.5,1.55,24.8,16.1,6.98,19.0,15.5,268,12.0,22.5,14,8322.18570543107,1931.48,25.5407292911854,PQ26/25
0.155,30,32.0,1.211,30.4,21.3,8.0,22.0,19.0,147,13.4,27.5,13,1835.78643822434,1984.4,33.5777336875535,PQ32/30
0.099,80,20.5,1.769,20.2,14.3,3.94,14.0,12.5,357,8.8,18.0,28,7570.64104859851,2174.01,54.4549766956166,PQ20/20
0.102,10,20.5,2.421,16.2,10.3,2.12,14.0,12.5,338,8.8,18.0,68,5756.74984672891,1441.93,238.104904860187,PQ20/16
0.169,20,50.0,2.434,50.0,36.1,13.03,32.5,31.5,124,20.0,44.0,16,7623.87459682829,6958.62,60.9505080292557,PQ50/50
0.081,200,20.5,1.058,20.2,14.3,2.08,14.0,12.5,536,8.8,18.0,16,1057.1755752833,554.3860000000001,26.6074393868066,PQ20/20
0.091,60,20.5,2.467,20.2,14.3,3.95,14.0,12.5,425,8.8,18.0,19,1878.31496794028,551.77,19.2519377930726,PQ20/20
0.101,180,40.5,0.904,39.8,29.5,1.49,28.0,28.0,344,14.9,37.0,36,2526.19515096005,5259.5,402.596819400813,PQ40/40
0.087,80,20.5,1.845,16.2,10.3,2.95,14.0,12.5,468,8.8,18.0,20,2004.95404368687,445.001,25.7767776231624,PQ20/16
0.167,150,32.0,0.48,20.5,11.5,6.1,22.0,19.0,126,13.4,27.5,7,759.51992384832,735.598,20.8336412630447,PQ32/20
0.101,500,50.0,2.031,40.0,26.1,12.15,32.0,31.5,349,20.0,44.0,10,12994.8305679004,12510.0,26.8044149509496,PQ50/40
0.092,180,32.0,2.428,20.5,11.5,3.89,22.0,19.0,414,13.4,27.5,19,5979.94606778662,730.365,39.0895305507856,PQ32/20
0.129,80,32.0,2.255,30.4,21.3,7.63,22.0,19.0,213,13.4,27.5,27,19884.2385445593,6465.27,88.4752753079632,PQ32/30
0.089,600,50.0,0.959,40.0,26.1,1.8,32.0,31.5,441,20.0,44.0,17,1674.05573308573,2511.73,143.510700123505,PQ50/40
0.12,350,35.1,2.182,34.8,25.0,14.56,26.0,23.5,247,14.3,32.0,13,27567.0452426978,10444.1,24.1183462674794,PQ35/35
0.141,600,65.0,0.679,60.0,42.0,6.49,45.0,40.8,106,26.0,55.0,9,915.953616886833,4533.53,88.0506697983633,PQ65/60
0.092,30,20.5,1.709,16.2,10.3,0.96,14.0,12.5,414,8.8,18.0,53,1475.35151246705,282.887,192.773276185785,PQ20/16
0.093,180,20.5,0.893,16.2,10.3,2.13,14.0,12.5,409,8.8,18.0,12,546.58236005024,179.334,16.7634599083251,PQ20/16
0.2,500,107.0,2.327,87.0,56.0,11.91,70.0,72.5,54,41.0,93.7,25,39094.7737821321,18865.3,556.037581854132,PQ107/87
0.117,40,35.1,1.975,34.8,25.0,1.01,26.0,23.5,257,14.3,32.0,119,11562.3895436197,4217.87,2181.660548942,PQ35/35
0.137,10,26.5,1.827,20.2,11.5,1.35,19.0,15.5,189,12.0,22.5,121,12727.9524800669,1988.48,1617.55334953673,PQ26/20
0.138,20,16.4,0.963,11.6,6.7,3.21,11.2,9.6,185,7.0,14.4,28,2616.80113161733,446.785,56.1829748175319,PQ16/11.6
0.108,600,40.5,1.081,30.3,20.0,6.74,28.0,28.0,300,14.9,37.0,10,4982.92541231695,3804.08,26.6004447578842,PQ40/30
0.116,30,35.1,0.696,34.8,25.0,6.22,26.0,23.5,262,14.3,32.0,7,661.057091351736,2635.5,17.3252796820219,PQ35/35
0.104,300,50.0,1.902,40.0,26.1,3.51,32.0,31.5,325,20.0,44.0,32,20611.957493146398,10216.5,289.349942085266,PQ50/40
0.097,60,26.5,2.444,20.2,11.5,3.97,19.0,15.5,375,12.0,22.5,36,15503.7288442821,2626.11,111.984429648193,PQ26/20
0.076,500,20.5,0.134,20.2,14.3,1.84,14.0,12.5,122,8.8,18.0,7,10.5349016054011,287.294,28.7356108287598,PQ20/20
0.2,150,107.0,2.098,87.0,56.0,3.63,70.0,72.5,27,41.0,93.7,68,5861.97870467747,4085.43,4481.899478596851,PQ107/87
0.106,250,32.0,2.087,30.4,21.3,7.87,22.0,19.0,313,13.4,27.5,17,16043.899734449,5070.12,37.276735594303204,PQ32/30
0.104,300,26.5,0.535,24.8,16.1,3.37,19.0,15.5,329,12.0,22.5,10,1134.90379011334,1704.64,31.5452467053568,PQ26/25
0.189,250,107.0,0.712,87.0,56.0,4.41,70.0,72.5,54,41.0,93.7,19,1039.66803542784,9792.33,883.332133496556,PQ107/87
0.122,60,50.0,0.413,40.0,26.1,0.67,32.0,31.5,237,20.0,44.0,56,856.705985301616,9448.48,3214.53965259103,PQ50/40
0.2,10,32.0,1.166,20.5,11.5,5.7,22.0,19.0,79,13.4,27.5,26,3302.16180457321,1056.09,134.678802946078,PQ32/20
0.081,400,32.0,1.466,30.4,21.3,6.74,22.0,19.0,533,13.4,27.5,7,1426.04363228398,1743.83,8.342720963647889,PQ32/30
0.092,350,26.5,2.491,24.8,16.1,7.57,19.0,15.5,418,12.0,22.5,10,5524.74313817106,799.985,8.85765055858708,PQ26/25
0.179,350,50.0,1.567,50.0,36.1,15.5,32.5,31.5,110,20.0,44.0,9,8606.963772824,4800.22,27.2668275822424,PQ50/50
0.095,250,26.5,2.059,24.8,16.1,6.5,19.0,15.5,387,12.0,22.5,18,17331.1688045097,3342.75,33.5461023935125,PQ26/25
0.096,250,32.0,0.688,30.4,21.3,2.0,22.0,19.0,381,13.4,27.5,22,2416.0769635126,3992.28,152.629432451901,PQ32/30
0.102,80,40.5,1.888,30.3,20.0,9.72,28.0,28.0,338,14.9,37.0,11,2986.1796518801502,4961.78,20.6820746857455,PQ40/30
0.11,30,16.4,2.332,11.6,6.7,3.93,11.2,9.6,291,7.0,14.4,37,10211.3321773883,515.761,46.8898297987055,PQ16/11.6
0.096,250,26.5,0.617,20.2,11.5,2.15,19.0,15.5,381,12.0,22.5,17,2320.99841843527,1580.74,79.95008544697839,PQ26/20
0.2,60,35.1,1.348,34.8,25.0,8.63,26.0,23.5,67,14.3,32.0,18,3101.9200992740502,1489.09,67.297310657112,PQ35/35
0.095,350,26.5,1.017,24.8,16.1,7.41,19.0,15.5,391,12.0,22.5,8,3190.47858508528,2502.16,11.7806301258121,PQ26/25
0.129,180,26.5,0.863,24.8,16.1,6.16,19.0,15.5,213,12.0,22.5,12,3882.20994834939,2090.53,30.3734149351597,PQ26/25
0.145,20,32.0,2.282,20.5,11.5,2.49,22.0,19.0,167,13.4,27.5,79,20408.3090157886,2072.73,711.031331878188,PQ32/20
0.2,100,40.5,1.449,39.8,29.5,9.06,28.0,28.0,35,14.9,37.0,19,1569.7500375915301,634.738,77.6236130295971,PQ40/40
0.145,40,107.0,1.945,87.0,56.0,5.96,70.0,72.5,168,41.0,93.7,28,5968.39426691305,49613.0,809.100147140907,PQ107/87
0.124,50,50.0,2.422,40.0,26.1,14.81,32.0,31.5,229,20.0,44.0,14,9781.16046423296,16032.6,45.6430337445008,PQ50/40
0.14,200,40.5,1.326,30.3,20.0,11.59,28.0,28.0,181,14.9,37.0,10,5274.73578682757,4034.02,22.5938815056805,PQ40/30
0.178,80,50.0,1.55,50.0,36.1,2.86,32.5,31.5,112,20.0,44.0,50,11556.6893029901,5398.65,849.124661200281,PQ50/50
0.094,150,26.5,1.602,20.2,11.5,1.66,19.0,15.5,401,12.0,22.5,30,4287.33494719562,464.428,110.924497324423,PQ26/20
0.081,250,40.5,2.224,30.3,20.0,2.91,28.0,28.0,536,14.9,37.0,23,4488.14599292631,2384.2,79.6046287423391,PQ40/30
0.132,20,16.4,0.371,11.6,6.7,1.38,11.2,9.6,203,7.0,14.4,25,373.440968311131,352.948,99.33772982701899,PQ16/11.6
0.08,150,20.5,1.235,16.2,10.3,2.26,14.0,12.5,548,8.8,18.0,17,1386.52774601644,450.12600000000003,25.8303912033074,PQ20/16
0.084,350,32.0,1.829,30.4,21.3,3.04,22.0,19.0,500,13.4,27.5,19,4758.86490157349,1686.29,51.649468252476396,PQ32/30
0.108,150,40.5,2.333,30.3,20.0,6.39,28.0,28.0,301,14.9,37.0,23,12940.2529010083,6006.03,76.7447175026741,PQ40/30
0.084,180,16.4,0.852,11.6,6.7,3.03,11.2,9.6,503,7.0,14.4,9,651.381541958517,156.201,6.4154970616604095,PQ16/11.6
0.083,500,26.5,1.848,24.8,16.1,4.8,19.0,15.5,516,12.0,22.5,12,5952.28403034074,1084.52,16.273153921989,PQ26/25
0.128,20,20.5,1.792,20.2,14.3,2.59,14.0,12.5,216,8.8,18.0,60,8497.07270714659,2040.49,247.582955720315,PQ20/20
0.086,100,32.0,2.079,20.5,11.5,1.1,22.0,19.0,472,13.4,27.5,55,6559.36378178509,764.247,371.976142386094,PQ32/20
0.13,250,35.1,2.051,34.8,25.0,13.79,26.0,23.5,210,14.3,32.0,13,17953.0453059759,7574.59,25.3223295409856,PQ35/35
0.094,60,35.1,2.295,34.8,25.0,0.61,26.0,23.5,402,14.3,32.0,109,4794.361055535181,1457.71,1631.18458513597,PQ35/35
0.165,100,50.0,1.072,50.0,36.1,3.04,32.5,31.5,129,20.0,44.0,34,5137.3597525265695,6490.27,528.873039259797,PQ50/50
0.2,180,65.0,0.803,60.0,42.0,3.28,45.0,40.8,28,26.0,55.0,31,845.381978070323,1153.55,906.475713842439,PQ65/60
0.087,500,26.5,1.745,24.8,16.1,6.8,19.0,15.5,462,12.0,22.5,8,3513.76229548197,852.246,7.5769436814894595,PQ26/25
0.086,400,26.5,1.069,24.8,16.1,2.31,19.0,15.5,438,12.0,22.5,14,1564.12493975635,545.558,34.6046843098807,PQ26/25
0.096,100,26.5,1.982,20.2,11.5,5.74,19.0,15.5,383,12.0,22.5,20,9943.88317045856,2447.06,41.2724073623933,PQ26/20
0.156,300,40.5,0.717,30.3,20.0,8.5,28.0,28.0,145,14.9,37.0,8,2128.55314964784,2474.18,23.8631892400449,PQ40/30
0.2,180,50.0,1.776,40.0,26.1,18.26,32.0,31.5,65,20.0,44.0,11,8072.16739844335,2761.8,36.1816185821086,PQ50/40
0.096,350,20.5,0.266,16.2,10.3,2.55,14.0,12.5,381,8.8,18.0,6,187.853915241703,611.154,11.657294383821,PQ20/16
0.086,180,26.5,0.583,24.8,16.1,1.76,19.0,15.5,481,12.0,22.5,10,197.804585098422,500.883,29.3058678221505,PQ26/25
0.136,50,32.0,1.566,20.5,11.5,6.04,22.0,19.0,192,13.4,27.5,22,7547.39039701307,2198.56,75.4029448089351,PQ32/20
0.136,120,32.0,0.846,20.5,11.5,4.85,22.0,19.0,190,13.4,27.5,15,3595.53477026131,1717.25,58.706936726308,PQ32/20
0.065,500,26.5,0.682,20.2,11.5,1.5,19.0,15.5,437,12.0,22.5,14,356.675433454951,374.20599999999996,49.7433135554866,PQ26/20
0.054,500,40.5,0.388,39.8,29.5,0.72,28.0,28.0,30,14.9,37.0,62,26.7566243061173,230.277,2406.91779467496,PQ40/40
0.106,40,20.5,0.953,20.2,14.3,1.22,14.0,12.5,313,8.8,18.0,46,1778.41544679153,1029.66,239.010784100417,PQ20/20
0.185,120,40.5,1.042,39.8,29.5,4.49,28.0,28.0,103,14.9,37.0,21,3114.61101763534,1860.52,122.618637716132,PQ40/40
0.16,120,40.5,0.624,39.8,29.5,9.37,28.0,28.0,137,14.9,37.0,6,472.55614609126,2402.64,15.1413891244649,PQ40/40
0.078,300,20.5,0.584,20.2,14.3,2.55,14.0,12.5,576,8.8,18.0,7,211.101186390662,426.185,8.20905815158872,PQ20/20
0.087,500,32.0,1.372,30.4,21.3,4.75,22.0,19.0,466,13.4,27.5,9,1851.71788331787,1212.19,14.5539171492591,PQ32/30
0.084,200,32.0,2.053,20.5,11.5,1.61,22.0,19.0,501,13.4,27.5,36,8112.09015600983,781.581,161.21799144767502,PQ32/20
0.164,100,40.5,1.117,39.8,29.5,3.24,28.0,28.0,132,14.9,37.0,32,4800.136228793091,3266.21,269.3890828099,PQ40/40
0.149,180,35.1,0.978,34.8,25.0,5.83,26.0,23.5,160,14.3,32.0,16,4618.45757080539,3812.64,68.657190033254,PQ35/35
0.125,400,26.5,0.344,20.2,11.5,5.39,19.0,15.5,225,12.0,22.5,6,1039.19745842582,1675.34,16.6141762733008,PQ26/20
0.118,60,32.0,1.934,20.5,11.5,1.92,22.0,19.0,254,13.4,27.5,60,16339.7388240435,1613.21,470.560185713089,PQ32/20
0.2,300,50.0,0.872,50.0,36.1,18.45,32.5,31.5,68,20.0,44.0,6,2032.13637454207,3715.22,19.548368102238697,PQ50/50
0.102,20,40.5,1.678,30.3,20.0,5.04,28.0,28.0,341,14.9,37.0,20,3132.14097432173,5515.35,74.92795811852591,PQ40/30
0.091,200,16.4,0.943,11.6,6.7,3.49,11.2,9.6,426,7.0,14.4,8,658.959339563237,98.8378,4.66364891463431,PQ16/11.6
0.2,20,26.5,1.592,20.2,11.5,6.1,19.0,15.5,22,12.0,22.5,33,1636.79219314401,87.3407,135.081629875377,PQ26/20
0.078,80,16.4,2.266,11.6,6.7,2.4,11.2,9.6,585,7.0,14.4,27,3959.56036163548,234.029,25.6011608719683,PQ16/11.6
0.086,400,26.5,1.54,24.8,16.1,7.35,19.0,15.5,474,12.0,22.5,6,1465.46762118451,667.502,4.71607233325674,PQ26/25
0.2,20,32.0,1.696,20.5,11.5,3.6,22.0,19.0,70,13.4,27.5,55,10021.6526957883,799.374,440.811180009233,PQ32/20
0.088,500,35.1,2.269,34.8,25.0,11.71,26.0,23.5,452,14.3,32.0,6,2546.51825122248,2159.95,4.98127471233412,PQ35/35
0.127,40,26.5,0.726,24.8,16.1,0.97,19.0,15.5,219,12.0,22.5,66,3558.00220871069,2223.44,1061.51519133557,PQ26/25
0.139,20,16.4,0.128,11.6,6.7,0.58,11.2,9.6,183,7.0,14.4,19,30.3553725722018,171.142,145.103118643873,PQ16/11.6
0.101,600,35.1,1.699,34.8,25.0,13.35,26.0,23.5,349,14.3,32.0,8,9672.97370227259,7298.99,11.079998718744,PQ35/35
0.097,100,32.0,0.889,30.4,21.3,2.2,22.0,19.0,376,13.4,27.5,24,1610.1134976655999,3624.7799999999997,146.96440941322,PQ32/30
0.129,350,107.0,1.708,87.0,56.0,13.82,70.0,72.5,213,41.0,93.7,11,9416.758234581639,80103.6,139.362430841677,PQ107/87
0.103,600,50.0,2.351,50.0,36.1,9.64,32.5,31.5,334,20.0,44.0,15,25112.5292894465,17691.0,54.9827843610444,PQ50/50
0.188,400,50.0,0.778,40.0,26.1,14.85,32.0,31.5,100,20.0,44.0,6,3544.9533602179,4444.11,21.391806213413698,PQ50/40
0.131,100,32.0,0.239,20.5,11.5,0.9,22.0,19.0,205,13.4,27.5,25,463.661746335959,1688.99,492.764706751794,PQ32/20
0.079,150,32.0,1.442,30.4,21.3,0.87,22.0,19.0,561,13.4,27.5,47,2586.11170410137,1363.43,381.352992927815,PQ32/30
0.104,150,26.5,1.921,20.2,11.5,5.53,19.0,15.5,329,12.0,22.5,21,15900.2577219632,2038.52,46.721023991901205,PQ26/20
0.131,350,50.0,1.849,40.0,26.1,8.66,32.0,31.5,207,20.0,44.0,19,31470.0240290544,12775.6,104.488641340245,PQ50/40
0.132,80,32.0,1.347,20.5,11.5,3.27,22.0,19.0,202,13.4,27.5,35,13250.4942283713,2254.4,216.177683033934,PQ32/20
0.117,30,40.5,0.899,39.8,29.5,3.03,28.0,28.0,260,14.9,37.0,18,619.156837890649,3322.98,101.15845775800099,PQ40/40
0.098,10,20.5,2.429,20.2,14.3,2.21,14.0,12.5,366,8.8,18.0,63,4632.9697141670695,2217.1,214.362329606155,PQ20/20
0.098,30,20.5,1.463,20.2,14.3,3.66,14.0,12.5,370,8.8,18.0,25,2372.99710827006,2085.1,50.3354832186723,PQ20/20
0.151,60,32.0,0.798,30.4,21.3,2.6,22.0,19.0,155,13.4,27.5,26,1728.02573347213,1728.04,188.66652772617402,PQ32/30
0.09,500,32.0,1.607,30.4,21.3,4.38,22.0,19.0,431,13.4,27.5,11,2747.9290844853,1037.85,19.173131661474102,PQ32/30
0.107,10,16.4,0.421,11.6,6.7,1.39,11.2,9.6,308,7.0,14.4,17,167.107111962042,213.211,41.2202459639075,PQ16/11.6
0.077,60,50.0,2.058,50.0,36.1,6.86,32.5,31.5,598,20.0,44.0,9,1727.29808785182,7054.88,21.940284490190702,PQ50/50
0.108,400,107.0,1.075,87.0,56.0,3.05,70.0,72.5,129,41.0,93.7,31,2089.94801867211,26149.5,1642.28929609853,PQ107/87
0.102,10,20.5,1.506,16.2,10.3,1.94,14.0,12.5,339,8.8,18.0,44,1927.24243210597,1020.25,147.322219679221,PQ20/16
0.142,80,35.1,2.202,34.8,25.0,7.47,26.0,23.5,175,14.3,32.0,25,12092.350906084701,5243.39,88.590532965712,PQ35/35
0.155,200,65.0,2.048,60.0,42.0,10.08,45.0,40.8,147,26.0,55.0,19,18549.8655699673,16546.1,156.053441692523,PQ65/60
0.104,300,32.0,1.536,30.4,21.3,5.86,22.0,19.0,329,13.4,27.5,16,9466.71088945014,4066.68,42.0437336147366,PQ32/30
0.2,20,26.5,2.186,24.8,16.1,7.7,19.0,15.5,87,12.0,22.5,32,12118.4602516365,1279.01,101.037376616746,PQ26/25
0.108,60,32.0,2.398,20.5,11.5,3.48,22.0,19.0,305,13.4,27.5,39,14457.5164694135,2170.62,166.35181227876,PQ32/20
0.188,150,50.0,2.355,50.0,36.1,12.53,32.5,31.5,100,20.0,44.0,23,38534.8411520994,11477.2,129.234324624685,PQ50/50
0.078,120,26.5,2.483,20.2,11.5,1.95,19.0,15.5,587,12.0,22.5,40,10131.2575013645,1163.57,136.343893794857,PQ26/20
0.079,500,35.1,0.827,34.8,25.0,2.39,26.0,23.5,306,14.3,32.0,22,1606.7980721082001,3957.02,148.604612180918,PQ35/35
0.116,300,40.5,1.62,39.8,29.5,4.64,28.0,28.0,264,14.9,37.0,20,6971.73786431634,4137.889999999999,78.8143536464709,PQ40/40
0.128,80,20.5,0.627,16.2,10.3,3.78,14.0,12.5,216,8.8,18.0,14,1272.70463649183,822.554,30.5775624106238,PQ20/16
0.078,250,20.5,1.318,16.2,10.3,3.22,14.0,12.5,581,8.8,18.0,13,2087.83939109823,549.566,14.3299870076852,PQ20/16
0.2,50,26.5,0.847,20.2,11.5,5.43,19.0,15.5,32,12.0,22.5,20,820.441335730328,139.013,84.483751444602,PQ26/20
0.086,60,16.4,2.076,11.6,6.7,3.25,11.2,9.6,482,7.0,14.4,18,1788.15537115231,152.233,12.2564841350888,PQ16/11.6
0.09,120,32.0,1.044,20.5,11.5,2.04,22.0,19.0,439,13.4,27.5,15,675.084056038844,503.653,49.119747659127,PQ32/20
0.2,50,35.1,1.252,34.8,25.0,9.55,26.0,23.5,65,14.3,32.0,16,2419.49228009454,1551.25,56.387753628467,PQ35/35
0.2,120,40.5,1.205,30.3,20.0,9.97,28.0,28.0,68,14.9,37.0,14,3841.48478449442,1321.42,47.8331624832439,PQ40/30
0.097,350,32.0,0.82,30.4,21.3,3.02,22.0,19.0,374,13.4,27.5,16,2992.4965767164504,3387.58,69.79801944973,PQ32/30
0.109,120,26.5,1.891,20.2,11.5,4.64,19.0,15.5,298,12.0,22.5,26,16838.1294355217,1946.66,72.56875625701309,PQ26/20
0.096,100,20.5,0.668,20.2,14.3,3.94,14.0,12.5,379,8.8,18.0,10,539.552360106763,1209.27,15.0300422338829,PQ20/20
0.089,20,50.0,1.964,40.0,26.1,1.78,32.0,31.5,445,20.0,44.0,32,1130.13928719366,2792.7,281.97610975533,PQ50/40
0.08,200,20.5,1.482,16.2,10.3,3.19,14.0,12.5,553,8.8,18.0,14,2020.5593418414499,462.784,15.0978593644588,PQ20/16
0.107,10,32.0,2.37,30.4,21.3,2.08,22.0,19.0,309,13.4,27.5,70,5064.79672539484,4703.37,572.022133322568,PQ32/30
0.2,10,40.5,1.015,30.3,20.0,12.14,28.0,28.0,78,14.9,37.0,10,3835.19382559373,1686.39,28.027087184392,PQ40/30
0.101,250,35.1,2.14,34.8,25.0,9.77,26.0,23.5,347,14.3,32.0,13,9041.63043116104,7149.68,24.493381424932302,PQ35/35
0.124,50,32.0,2.281,20.5,11.5,4.93,22.0,19.0,230,13.4,27.5,41,28115.6105413765,3994.29,191.584975097207,PQ32/20
0.2,60,35.1,1.342,34.8,25.0,5.48,26.0,23.5,86,14.3,32.0,28,6785.02620523205,2280.41,163.423197090942,PQ35/35
0.182,60,26.5,0.684,20.2,11.5,4.47,19.0,15.5,107,12.0,22.5,14,1447.6080601354,501.734,49.6770855569071,PQ26/20
0.197,120,40.5,2.007,39.8,29.5,13.5,28.0,28.0,91,14.9,37.0,19,20028.4526030297,5302.29,60.5675626594594,PQ40/40
0.158,20,20.5,0.621,20.2,14.3,3.82,14.0,12.5,141,8.8,18.0,15,515.615091251304,611.075,35.9089335572443,PQ20/20
0.082,30,20.5,0.929,16.2,10.3,1.4,14.0,12.5,519,8.8,18.0,20,270.323135610862,320.683,45.078299832567,PQ20/16
0.093,180,26.5,2.44,20.2,11.5,6.29,19.0,15.5,411,12.0,22.5,12,4401.6344803605,572.361,12.458801231784001,PQ26/20
0.117,180,26.5,1.757,20.2,11.5,6.56,19.0,15.5,256,12.0,22.5,16,11700.316708443299,1206.67,29.2334018387192,PQ26/20
0.077,600,26.5,1.969,20.2,11.5,5.15,19.0,15.5,596,12.0,22.5,11,7647.38934005231,854.827,12.5414725016169,PQ26/20
0.078,100,35.1,2.051,34.8,25.0,7.09,26.0,23.5,583,14.3,32.0,9,1265.14841625248,3246.04,12.122715736558101,PQ35/35
0.197,30,26.5,2.034,24.8,16.1,6.23,19.0,15.5,91,12.0,22.5,37,17687.7933231935,1348.33,143.244569490655,PQ26/25
0.107,150,50.0,1.084,40.0,26.1,1.46,32.0,31.5,307,20.0,44.0,44,4849.69042636393,7086.16,868.1269970665279,PQ50/40
0.115,120,50.0,0.587,40.0,26.1,5.13,32.0,31.5,266,20.0,44.0,7,331.984857033014,4655.33,36.9814516267519,PQ50/40
0.065,200,35.1,0.618,34.8,25.0,0.62,26.0,23.5,277,14.3,32.0,57,297.77421295112697,2179.86,1267.23926378597,PQ35/35
0.094,150,50.0,2.469,40.0,26.1,15.46,32.0,31.5,396,20.0,44.0,9,6180.78371864561,14929.6,18.568103167462798,PQ50/40
0.112,40,20.5,2.22,16.2,10.3,3.49,14.0,12.5,279,8.8,18.0,36,7442.40415679261,853.277,71.7430850874634,PQ20/16
0.098,80,20.5,1.218,16.2,10.3,2.74,14.0,12.5,368,8.8,18.0,26,3917.34577670296,1155.25,61.153112801713,PQ20/16
0.117,40,32.0,2.384,20.5,11.5,5.48,22.0,19.0,258,13.4,27.5,25,7060.80420490119,1652.16,68.6881977200731,PQ32/20
0.119,150,32.0,0.674,30.4,21.3,2.34,22.0,19.0,250,13.4,27.5,25,2981.69651309444,4055.83,200.67224051259498,PQ32/30
0.11,50,20.5,1.606,16.2,10.3,3.45,14.0,12.5,294,8.8,18.0,30,5900.61767656388,1132.33,64.971281366544,PQ20/16
0.2,250,50.0,1.543,40.0,26.1,18.41,32.0,31.5,84,20.0,44.0,10,13767.9850376796,4750.04,33.5235408078279,PQ50/40
0.151,400,50.0,1.083,50.0,36.1,12.55,32.5,31.5,154,20.0,44.0,8,4598.91162714657,8180.96,29.0359262059268,PQ50/50
0.091,400,40.5,0.841,39.8,29.5,3.33,28.0,28.0,422,14.9,37.0,8,325.27202138198,1374.46,21.0677341902964,PQ40/40
0.1,40,20.5,2.367,20.2,14.3,2.56,14.0,12.5,353,8.8,18.0,57,12628.9625411357,2459.64,179.12030053143198,PQ20/20
0.132,500,50.0,0.871,40.0,26.1,9.8,32.0,31.5,204,20.0,44.0,8,4535.048287998639,9088.84,34.5287569068627,PQ50/40
0.107,400,40.5,1.214,30.3,20.0,5.71,28.0,28.0,310,14.9,37.0,12,4263.22479666278,3288.09,34.9047140080065,PQ40/30
0.106,60,32.0,1.211,30.4,21.3,2.6,22.0,19.0,317,13.4,27.5,30,2710.35689604171,3840.36,178.716115443862,PQ32/30
0.2,300,50.0,0.629,40.0,26.1,8.17,32.0,31.5,47,20.0,44.0,9,801.397679600113,1084.93,57.7338187726865,PQ50/40
0.159,300,107.0,2.429,87.0,56.0,19.16,70.0,72.5,139,41.0,93.7,11,14801.0233539867,39958.1,103.796312730186,PQ107/87
0.106,120,26.5,1.983,24.8,16.1,4.44,19.0,15.5,315,12.0,22.5,28,15308.6049699246,2901.7400000000002,83.6219000209961,PQ26/25
0.113,150,26.5,2.412,24.8,16.1,6.3,19.0,15.5,278,12.0,22.5,22,17846.5555891341,2042.93,44.031047737581105,PQ26/25
